Postal code,Region,Industry,Relevance
7833,Emmen / Southeast Drenthe,Chemical & Polymers (Getec Industrial Park),1 - Extremely High
7887,Emmen / Southeast Drenthe,Chemical & Polymers (Getec Industrial Park),1 - Extremely High
7844,Emmen / Southeast Drenthe,Chemical & Polymers (Getec Industrial Park),1 - Extremely High
6026,Weert / Roermond (Central Limburg),Metallurgy (Nyrstar Zinc Smelter),2 - High (Concentrated)
6021,Weert / Roermond (Central Limburg),Heavy Manufacturing & Metal Processing,2 - High (Concentrated)
1771,Noord-Holland Noord,Hyperscale Data Centers (Google/MSFT) & Agri-lighting,3 - High (Modern EII)
1775,Noord-Holland Noord,Hyperscale Data Centers (Google/MSFT) & Agri-lighting,3 - High (Modern EII)
5712,Helmond area,Automotive & Heavy Metal Processing,4 - Medium-High
7081,Doetinchem / Achterhoek region,Metal Foundries & Smart Industry Fabrication,4 - Medium-High
7078,Doetinchem / Achterhoek region,Metal Foundries & Smart Industry Fabrication,4 - Medium-High
7051,Doetinchem / Achterhoek region,Metal Foundries & Smart Industry Fabrication,4 - Medium-High
7077,Doetinchem / Achterhoek region,Metal Foundries & Smart Industry Fabrication,4 - Medium-High
7122,Winterswijk / East Achterhoek,Heavy Engineering & Manufacturing,4 - Medium-High
5591,Veldhoven / Kempen region,High-Tech Precision Machinery Supply Chain,5 - Medium
5595,Veldhoven / Kempen region,High-Tech Precision Machinery Supply Chain,5 - Medium
7761,Dedemsvaart / Ommen / Hardenberg,Oil Extraction (Schoonebeek field) & Infrastructure,6 - Medium
7765,Dedemsvaart / Ommen / Hardenberg,Industrial Plastics Extrusion,6 - Medium
7721,Dedemsvaart / Ommen / Hardenberg,Light-Medium Industrial Manufacturing,6 - Medium
7722,Dedemsvaart / Ommen / Hardenberg,Light-Medium Industrial Manufacturing,6 - Medium
5801,Venray / Boxmeer,Pharma Manufacturing & Food Processing Systems,7 - Medium-Low
5802,Venray / Boxmeer,Pharma Manufacturing & Food Processing Systems,7 - Medium-Low
5825,Venray / Boxmeer,Pharma Manufacturing & Food Processing Systems,7 - Medium-Low
5854,Venray / Boxmeer,Pharma Manufacturing & Food Processing Systems,7 - Medium-Low
5855,Venray / Boxmeer,Pharma Manufacturing & Food Processing Systems,7 - Medium-Low
8024,Zwolle area,Automotive Assembly (Scania) & Logistics,7 - Medium-Low
8028,Zwolle area,Automotive Assembly (Scania) & Logistics,7 - Medium-Low
8035,Zwolle area,Automotive Assembly (Scania) & Logistics,7 - Medium-Low
8271,Lelystad / Dronten,Concrete Fabrication & Maritime Engineering,8 - Low-Medium
8274,Lelystad / Dronten,Agro-Industrial Assembly,8 - Low-Medium
8267,Lelystad / Dronten,Agro-Industrial Assembly,8 - Low-Medium
8277,Lelystad / Dronten,Agro-Industrial Assembly,8 - Low-Medium
8269,Lelystad / Dronten,Agro-Industrial Assembly,8 - Low-Medium
2741,Zoetermeer,Business Parks & Mixed Light Commerce,9 - Low
2742,Zoetermeer,Business Parks & Mixed Light Commerce,9 - Low
2743,Zoetermeer,Business Parks & Mixed Light Commerce,9 - Low
2803,Gouda / Waddinxveen,Logistics & Distribution Centers,9 - Low
2492,Alphen aan den Rijn / Gouda North,Logistics & Light Assembly,9 - Low
2266,Katwijk / Noordwijk / Wassenaar,Light Commercial & Research Parks,9 - Low
2381,Leiden area,Light Commercial & Research Parks,9 - Low
1398,Almere,E-commerce Fulfillment & Office Parks,10 - Very Low
1384,Almere,E-commerce Fulfillment & Office Parks,10 - Very Low
1382,Almere,E-commerce Fulfillment & Office Parks,10 - Very Low
