Unnamed: 0;projectnaam;gebied_id;kwartaal;jaar;beschrijving;jaar_num;kwartaal_num;einddatum_string;netbeheerder;start;eind;tijdschema_beschrijving;project_fase;bron;project_url;project_type
;Extra capaciteit op Californië;CALF;;2029;;;;2029;Enexis;;;;scheduled;Laatste inzichten;;
;Extra capaciteit op Nederweert;NEDW;;2029;;;;2029;Enexis;;;;scheduled;Laatste inzichten;;
;Extra capaciteit op Hengelo Bolderhoek;HGLB;;2028;;;;2028;Enexis;;;;inProgress;Laatste inzichten;;
;Extra capaciteit op Tilburg West;TBW;;2029;;;;2029;Enexis;;;;scheduled;Laatste inzichten;;
;Extra capaciteit op Ommen Dante;OMD;;2018;;;;2018;Enexis;;;;approved;Laatste inzichten;;
;Extra capaciteit op Ommen Dante;OMD;;2028;;;;2028;Enexis;;;;scheduled;Laatste inzichten;;
;Extra capaciteit op Uden;UD;;2031;;;;2031;Enexis;;;;scheduled;Laatste inzichten;;
;Extra capaciteit op Dinteloord;DTO;;2028;;;;2028;Enexis;;;;inProgress;Laatste inzichten;;
;Extra capaciteit op Eerde;ERD;;2028;;;;2028;Enexis;;;;inProgress;Laatste inzichten;;
;Extra capaciteit op Winsum Ranum;WSMR;;2026;;;;2026;Enexis;;;;inProgress;Laatste inzichten;;
;Extra capaciteit op Groningen Hunze;GNHU;;2026;;;;2026;Enexis;;;;inProgress;Laatste inzichten;;
;Extra capaciteit op Limmel;LIMM;;2027;;;;2027;Enexis;;;;inProgress;Laatste inzichten;;
;Extra capaciteit op Californië;CALF;;2024;;;;2024;Enexis;;;;approved;Laatste inzichten;;
;Extra capaciteit op Boekend;BOEK;;2033;;;;2033;Enexis;;;;scheduled;Laatste inzichten;;
;Extra capaciteit op Hoogeveen;HGV;;2022;;;;2022;Enexis;;;;approved;Laatste inzichten;;
;Extra capaciteit op Roosendaal;RSD;;2029;;;;2029;Enexis;;;;approved;Laatste inzichten;;
;Extra capaciteit op Hapert;HPT;;2026;;;;2026;Enexis;;;;inProgress;Laatste inzichten;;
;Extra capaciteit op Oldenzaal;ODZ;;2026;;;;2026;Enexis;;;;inProgress;Laatste inzichten;;
;Extra capaciteit op Oosteind;OTD;;2031;;;;2031;Enexis;;;;scheduled;Laatste inzichten;;
