aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_afname;voorspelde_capaciteit_afname;wachtrij_afname;unieke_verzoeken_afname;afname_beperking;afname_tso_limiet;aanwezige_transportcapaciteit_invoeding;benodigde_transportcapaciteit_invoeding;voorspelde_capaciteit_invoeding;wachtrij_invoeding;unieke_verzoeken_invoeding;opwek_beperking;opwek_tso_limiet;start;eind;jaar;kwartaal;info;congestiegebied;jaartal_opgelost_afname;jaartal_opgelost_invoeding;congestie_url
;;;;;;;361,0;782,0;;1304,0;7,0;;;;;2027,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Drenthe;;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-drenthe
702,0;611,0;;930,0;5,0;;;376,0;512,0;;774,0;4,0;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
805,0;765,0;;930,0;5,0;;;376,0;524,0;;774,0;4,0;;;;;2032,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Groningen West;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;1576,0;975,0;;219,0;;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
;;;;;;;1069,0;941,0;;219,0;;;;;;2030,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
3180,0;4179,0;;1339,0;9,0;;;2976,0;4404,0;;1538,0;9,0;;;;;2031,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
3180,0;4549,0;;1339,0;9,0;;;2976,0;4654,0;;1538,0;9,0;;;;;2033,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Flevopolder, Utrecht en Gelderland;2035,0;2035,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-gelderland 
2319,0;2627,0;;910,0;7,0;;;;;;;;;;;;2028,0;;;Noordelijk Zuid-Holland;2034,0;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-zuid-holland
;;;;;;;361,0;687,0;;1304,0;7,0;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Drenthe;;2034,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-drenthe
7000,0;4260,0;;2517,0;22,0;;;;;;;;;;;;2035,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Noord-Brabant;2036,0;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-noord-brabant
;;;;;;;700,0;293,0;;;;;;;;2033,0;;;Groningen Oost;;;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-groningen
;;;;;;;699,0;1081,0;;219,0;;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Friesland;;2033,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-friesland
;;;;;;;1110,0;636,0;;350,0;3,0;;;;;2028,0;;Congestie einddatum kan voor sommige delen in een voedingsgebied afwijken van verwacht moment van laatst benodigde netuitbreiding;Hengelo;;2036,0;https://www.tennet.eu/nl/de-elektriciteitsmarkt/congestiemanagement/onderzoeken-naar-congestiemanagement/congestieonderzoek-overijssel
