voedingsgebied_id;jaar;aanwezige_transportcapaciteit_invoeding;aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_invoeding;benodigde_transportcapaciteit_afname;unieke_verzoeken_invoeding;unieke_verzoeken_afname;wachtrij_invoeding;wachtrij_afname;voorspelde_capaciteit_invoeding;voorspelde_capaciteit_afname;info;congestie_url;jaartal_opgelost_invoeding;jaartal_opgelost_afname;start;eind;kwartaal;RNB;provincie
118065277_23;2026;;;;;0,0;0,0;0,0;0,0;;;;;;;;;;Stedin;Zuid-Holland
AMLM;2026;78,49;83,56;24,7147903895079;79,35882656263163;44,0;42,0;39,418;10,555;;;;https://www.enexis.nl/zakelijk/netcapaciteit/congestie/congestie-onderzoeken;2025,0;2029,0;;;;Coteq, Enexis;Overijssel
AMLU;2026;62,43;65,55;26,5896188005134;35,28931932031989;35,0;18,0;36,056;18,514;;;;https://www.enexis.nl/zakelijk/netcapaciteit/congestie/congestie-onderzoeken;2028,0;2025,0;;;;Coteq, Enexis;Overijssel
ARI;2026;98,51;108,77;112,9359588454428;73,62383762753626;61,0;89,0;70,009;49,321;;;;https://www.enexis.nl/zakelijk/netcapaciteit/congestie/congestie-onderzoeken;2030,0;2030,0;;;;Enexis;Noord-Brabant
Amstelveen;2026;63,0;56,0;16,0;53,0;;23,0;;5,17136;;;;https://www.liander.nl/grootzakelijk/capaciteit-op-het-net/congestieonderzoeken;;2032,0;2026-01-01;2026-12-31;4;Liander;Noord-Holland
BBS;2026;21,6;21,6;9,031060977718099;24,60827677178901;15,0;27,0;6,632;5,88;;;;https://www.enexis.nl/zakelijk/netcapaciteit/congestie/congestie-onderzoeken;2030,0;2030,0;;;;Enexis;Noord-Brabant
BD;2026;174,23;187,14;53,28280136359254;150,9263238035875;60,0;187,0;16,15;69,754;;;;https://www.enexis.nl/zakelijk/netcapaciteit/congestie/congestie-onderzoeken;2025,0;2028,0;;;;Enexis;Noord-Brabant
BEEK;2026;129,18;43,19;36,1095289356516;36,85897647350635;28,0;44,0;51,279;27,641;;;;https://www.enexis.nl/zakelijk/netcapaciteit/congestie/congestie-onderzoeken;2025,0;2029,0;;;;Enexis;Limburg
BELF;2026;79,8;86,39;53,9797998;41,96711796757404;23,0;44,0;7,369;12,407;;;;https://www.enexis.nl/zakelijk/netcapaciteit/congestie/congestie-onderzoeken;2032,0;2025,0;;;;Enexis;Limburg
BGMR;2026;82,45;94,05;35,2085563104878;56,44487441007816;58,0;36,0;71,072;26,456;;;;https://www.enexis.nl/zakelijk/netcapaciteit/congestie/congestie-onderzoeken;2030,0;2030,0;;;;Enexis;Drenthe
